22.523	0.532	0.047
22.623	0.537	0.036
22.723	0.540	0.025
22.823	0.543	0.014
22.923	0.544	0.003
23.023	0.544	-0.008
23.123	0.544	-0.019
23.223	0.542	-0.029
23.323	0.539	-0.039
23.423	0.535	-0.049
23.524	0.530	-0.058
23.624	0.524	-0.067
23.724	0.517	-0.074
23.824	0.510	-0.081
23.924	0.502	-0.088
24.024	0.493	-0.093
24.124	0.484	-0.098
24.224	0.474	-0.101
24.324	0.464	-0.104
24.424	0.453	-0.106
24.525	0.443	-0.107
24.625	0.432	-0.107
24.725	0.421	-0.105
24.825	0.411	-0.103
24.925	0.400	-0.100
25.025	0.390	-0.096
25.125	0.381	-0.092
25.225	0.372	-0.086
25.325	0.363	-0.080
25.425	0.355	-0.073
25.526	0.348	-0.065
25.626	0.341	-0.057
25.726	0.335	-0.048
25.826	0.331	-0.040
25.926	0.327	-0.030
26.026	0.324	-0.021
26.126	0.322	-0.011
26.226	0.320	-0.002
26.326	0.320	0.008
26.426	0.321	0.017
26.527	0.323	0.026
26.627	0.325	0.035
26.727	0.329	0.043
26.827	0.333	0.051
26.927	0.338	0.058
27.027	0.344	0.064
27.127	0.350	0.070
27.227	0.357	0.075
27.327	0.365	0.080
27.427	0.373	0.083
27.528	0.381	0.086
27.628	0.390	0.088
27.728	0.399	0.089
27.828	0.408	0.090
27.928	0.417	0.089
28.028	0.425	0.088
28.128	0.434	0.086
28.228	0.443	0.083
28.328	0.451	0.079
28.428	0.459	0.075
28.529	0.466	0.070
28.629	0.473	0.064
28.729	0.480	0.058
28.829	0.486	0.052
28.929	0.491	0.045
29.029	0.495	0.038
29.129	0.499	0.030
29.229	0.502	0.023
29.329	0.505	0.015
29.429	0.506	0.007
29.530	0.507	-0.000
29.630	0.507	-0.008
29.730	0.506	-0.016
29.830	0.504	-0.023
29.930	0.502	-0.030
30.030	0.499	-0.036
30.130	0.496	-0.043
30.230	0.491	-0.049
30.330	0.486	-0.054
30.430	0.481	-0.059
30.531	0.475	-0.063
30.631	0.469	-0.066
30.731	0.462	-0.069
30.831	0.455	-0.072
30.931	0.448	-0.073
31.031	0.441	-0.074
31.131	0.433	-0.075
31.231	0.426	-0.074
31.331	0.418	-0.073
31.431	0.411	-0.071
31.532	0.404	-0.069
31.632	0.397	-0.066
31.732	0.390	-0.063
31.832	0.384	-0.058
31.932	0.378	-0.054
32.032	0.373	-0.049
32.132	0.368	-0.043
32.232	0.364	-0.038
32.332	0.360	-0.032
32.432	0.357	-0.025
32.533	0.354	-0.019
32.633	0.352	-0.012
32.733	0.351	-0.006
32.833	0.351	0.001
32.933	0.351	0.008
33.033	0.351	0.014
33.133	0.353	0.020
33.233	0.355	0.026
33.333	0.357	0.032
33.433	0.361	0.037
33.534	0.364	0.042
33.634	0.369	0.046
33.734	0.373	0.050
33.834	0.378	0.054
33.934	0.384	0.057
34.034	0.389	0.059
34.134	0.395	0.061
34.234	0.401	0.062
34.334	0.407	0.062
34.434	0.414	0.062
34.535	0.420	0.062
34.635	0.426	0.061
34.735	0.432	0.059
34.835	0.438	0.057
34.935	0.444	0.054
35.035	0.449	0.051
35.135	0.454	0.048
35.235	0.459	0.044
35.335	0.463	0.039
35.435	0.467	0.035
35.536	0.471	0.030
35.636	0.474	0.025
35.736	0.476	0.019
35.836	0.478	0.014
35.936	0.480	0.009
36.036	0.481	0.003
36.136	0.481	-0.002
36.236	0.481	-0.007
36.336	0.480	-0.013
36.436	0.479	-0.018
36.537	0.477	-0.023
36.637	0.475	-0.027
36.737	0.472	-0.031
36.837	0.469	-0.035
36.937	0.465	-0.039
37.037	0.461	-0.042
37.137	0.457	-0.045
37.237	0.453	-0.047
37.337	0.448	-0.049
37.437	0.443	-0.051
37.538	0.438	-0.052
37.638	0.433	-0.052
37.738	0.428	-0.052
37.838	0.422	-0.052
37.938	0.417	-0.051
38.038	0.412	-0.049
38.138	0.407	-0.047
38.238	0.402	-0.045
38.338	0.398	-0.043
38.438	0.394	-0.040
38.539	0.390	-0.036
38.639	0.386	-0.033
38.739	0.383	-0.029
38.839	0.380	-0.025
38.939	0.377	-0.020
39.039	0.375	-0.016
39.139	0.374	-0.011
39.239	0.373	-0.007
39.339	0.372	-0.002
39.439	0.372	0.002
39.540	0.372	0.007
39.640	0.373	0.011
39.740	0.374	0.016
39.840	0.375	0.020
39.940	0.377	0.024
40.040	0.380	0.027
40.140	0.382	0.030
40.240	0.386	0.033
40.340	0.389	0.036
40.440	0.392	0.038
40.541	0.396	0.040
40.641	0.400	0.042
40.741	0.404	0.043
40.841	0.409	0.043
40.941	0.413	0.044
41.041	0.417	0.044
41.141	0.422	0.043
41.241	0.426	0.042
41.341	0.430	0.041
41.441	0.434	0.039
41.542	0.438	0.037
41.642	0.442	0.035
41.742	0.446	0.032
41.842	0.449	0.029
41.942	0.452	0.026
42.042	0.454	0.023
42.142	0.457	0.020
42.242	0.459	0.016
42.342	0.460	0.012
