3.258	-11.090	2.149	12.030	23.648	-56.059
3.147	-8.775	2.270	13.193	23.087	-54.422
3.059	-6.576	2.402	14.296	22.542	-52.765
2.994	-4.487	2.545	15.374	22.014	-51.086
2.949	-2.499	2.699	16.459	21.503	-49.383
2.924	-0.601	2.863	17.577	21.008	-47.651
2.918	1.219	3.039	18.751	20.531	-45.882
2.930	2.974	3.227	20.000	20.072	-44.071
2.960	4.678	3.427	21.341	19.631	-42.206
3.006	6.346	3.641	22.790	19.208	-40.276
3.070	7.992	3.869	24.358	18.805	-38.270
3.150	9.630	4.113	26.056	18.422	-36.171
3.246	11.274	4.374	27.894	18.060	-33.962
3.359	12.938	4.653	29.879	17.720	-31.624
3.489	14.634	4.952	32.015	17.404	-29.134
3.635	16.374	5.272	34.307	17.112	-26.466
3.799	18.169	5.616	36.755	16.847	-23.590
3.981	20.029	5.984	39.355	16.611	-20.475
4.181	21.964	6.378	42.102	16.406	-17.081
4.401	23.980	6.799	44.982	16.235	-13.368
4.641	26.082	7.249	47.976	16.101	-9.290
4.902	28.273	7.730	51.059	16.008	-4.795
5.185	30.554	8.241	54.190	15.960	0.171
5.491	32.920	8.783	57.321	15.962	5.666
5.821	35.363	9.357	60.384	16.019	11.749
6.175	37.867	9.961	63.294	16.136	18.480
6.554	40.413	10.595	65.945	16.321	25.915
6.958	42.968	11.255	68.205	16.581	34.102
7.388	45.495	11.938	69.912	16.922	43.077
7.844	47.939	12.638	70.874	17.353	52.853
8.324	50.235	13.347	70.870	17.882	63.412
8.827	52.300	14.057	69.646	18.517	74.693
9.350	54.037	14.754	66.922	19.265	86.576
9.891	55.326	15.424	62.406	20.131	98.872
10.445	56.035	16.048	55.801	21.121	111.299
11.006	56.012	16.607	46.840	22.235	123.477
11.566	55.094	17.076	35.307	23.471	134.915
12.118	53.113	17.429	21.086	24.822	145.014
12.650	49.907	17.640	4.203	26.273	153.079
13.149	45.332	17.682	-15.125	27.806	158.359
13.603	39.280	17.531	-36.449	29.391	160.096
13.996	31.700	17.166	-59.060	30.993	157.609
14.313	22.615	16.575	-82.001	32.571	150.387
14.540	12.143	15.754	-104.102	34.076	138.190
14.661	0.507	14.712	-124.080	35.460	121.138
14.666	-11.965	13.470	-140.660	36.672	99.763
14.547	-24.847	12.062	-152.740	37.671	75.005
14.298	-37.649	10.533	-159.541	38.422	48.142
13.921	-49.850	8.936	-160.725	38.904	20.656
13.422	-60.949	7.327	-156.450	39.110	-5.949
12.812	-70.509	5.761	-147.343	39.051	-30.325
12.106	-78.200	4.286	-134.393	38.747	-51.437
11.323	-83.825	2.941	-118.805	38.232	-68.652
10.484	-87.326	1.752	-101.825	37.545	-81.755
9.610	-88.778	0.732	-84.598	36.727	-90.900
8.721	-88.359	-0.114	-68.060	35.817	-96.510
7.837	-86.327	-0.796	-52.894	34.851	-99.171
6.973	-82.981	-1.325	-39.522	33.858	-99.529
6.142	-78.630	-1.721	-28.141	32.862	-98.201
5.355	-73.576	-2.002	-18.769	31.879	-95.734
4.619	-68.090	-2.190	-11.298	30.920	-92.571
3.937	-62.405	-2.303	-5.546	29.994	-89.053
3.312	-56.714	-2.359	-1.293	29.102	-85.420
2.745	-51.166	-2.372	1.693	28.247	-81.837
2.233	-45.875	-2.355	3.632	27.428	-78.399
1.773	-40.919	-2.319	4.724	26.643	-75.161
1.364	-36.350	-2.271	5.147	25.891	-72.140
1.000	-32.196	-2.220	5.050	25.169	-69.337
0.678	-28.468	-2.169	4.558	24.475	-66.736
0.393	-25.162	-2.124	3.770	23.807	-64.319
0.141	-22.266	-2.086	2.766	23.163	-62.062
-0.082	-19.760	-2.058	1.610	22.542	-59.942
-0.280	-17.621	-2.042	0.346	21.942	-57.940
-0.456	-15.823	-2.039	-0.991	21.362	-56.034
-0.615	-14.338	-2.049	-2.377	20.801	-54.210
-0.758	-13.141	-2.072	-3.798	20.258	-52.451
-0.890	-12.206	-2.110	-5.246	19.733	-50.744
-1.012	-11.509	-2.163	-6.717	19.225	-49.079
-1.127	-11.029	-2.230	-8.215	18.734	-47.443
-1.238	-10.747	-2.312	-9.743	18.259	-45.829
-1.345	-10.647	-2.410	-11.311	17.800	-44.226
-1.452	-10.713	-2.523	-12.927	17.358	-42.624
-1.559	-10.935	-2.652	-14.604	16.931	-41.014
-1.668	-11.302	-2.799	-16.355	16.520	-39.385
-1.782	-11.808	-2.962	-18.192	16.126	-37.725
-1.900	-12.447	-3.144	-20.131	15.749	-36.022
-2.024	-13.216	-3.346	-22.186	15.388	-34.261
-2.157	-14.114	-3.568	-24.372	15.045	-32.425
-2.298	-15.141	-3.812	-26.704	14.720	-30.495
